 time  0.0000000E+00
   1.52742205215419502018   0.11751201469403138589   1.64493406684822640607
   1.58434653344498710403   0.06058753340323930203   1.64493406684822640607
   1.61416726282792444280   0.03076680402030196326   1.64493406684822640607
   1.62943050140888767707   0.01550356543933872899   1.64493406684822640607
   1.63715200495446189244   0.00778206189376451363   1.64493406684822640607
   1.64103543630868053960   0.00389863053954586647   1.64493406684822640607
   1.64298284795509674794   0.00195121889312965813   1.64493406684822640607
   1.64395798103016432812   0.00097608581806207795   1.64493406684822640607
   1.64444590478811347722   0.00048816206011292884   1.64493406684822640607
   1.64468995602312362259   0.00024411082510278348   1.64493406684822640607
   1.64481200398600391210   0.00012206286222249396   1.64493406684822640607
   1.64487303355458380771   0.00006103329364259835   1.64493406684822640607
